AC,MIMS_fitted,ENMO_fitted,MAD_fitted,AI_fitted
0,0.0513279889077971,0.0102733085109815,0.00439148226132159,0.314097134283681
1,0.060309534466237,0.0102800603089631,0.00443238631566025,0.317305699186132
2,0.0692910724950677,0.0102868121016824,0.0044732902972387,0.320514258800278
3,0.0782725653461339,0.0102935638628272,0.00451419384225562,0.323722786684592
4,0.087253967841736,0.0103003155608229,0.00455509651414971,0.326931251109264
5,0.0962352348041342,0.0103070671640951,0.00459599787635936,0.33013962034445
6,0.105216321055575,0.0103138186410692,0.00463689749232328,0.333347862660336
7,0.114197181418312,0.0103205699601708,0.0046777949254799,0.336555946327087
8,0.123177770714637,0.0103273210898253,0.00471868973926779,0.339763839614885
9,0.132158043766772,0.0103340719984582,0.00475958149712549,0.342971510793896
10,0.141137955397016,0.0103408226544951,0.00480046976249158,0.346178928134306
11,0.150117460427615,0.0103475730263613,0.00484135409880462,0.349386059906278
12,0.15909651368082,0.0103543230824824,0.00488223406950309,0.352592874379985
13,0.168075069978909,0.0103610727912839,0.00492310923802556,0.355799339825607
14,0.177053084144146,0.0103678221211913,0.00496397916781063,0.359005424513319
15,0.186030510998782,0.01037457104063,0.00500484342229677,0.362211096713292
16,0.195007305365078,0.0103813195180255,0.00504570156492259,0.365416324695695
17,0.203983422065297,0.0103880675218034,0.00508655315912658,0.368621076730709
18,0.212958815921699,0.010394815020389,0.00512739776834728,0.371825321088509
19,0.22193344175656,0.010401561982208,0.00516823495602335,0.375029026039259
20,0.230907254392126,0.0104083083756858,0.00520906428559323,0.378232159853146
21,0.239880208650675,0.0104150541692478,0.0052498853204955,0.381434690800336
22,0.248852259354446,0.0104217993313196,0.00529069762416864,0.384636587151001
23,0.257823361325714,0.0104285438303267,0.0053315007600513,0.38783781717532
24,0.266793469386734,0.0104352876346945,0.00537229429158197,0.391038349143464
25,0.275762538359768,0.0104420307128485,0.0054130777821992,0.39423815132561
26,0.284730523067102,0.0104487730332142,0.00545385079534159,0.39743719199193
27,0.293697378330966,0.0104555145642172,0.00549461289444762,0.400635439412596
28,0.30266305897364,0.0104622552742828,0.00553536364295584,0.403832861857782
29,0.31162751981737,0.0104689951318367,0.0055761026043048,0.40702942759767
30,0.32059071568444,0.0104757341053042,0.00561682934193319,0.410225104902423
31,0.329552601397091,0.0104824721631109,0.0056575434192793,0.413419862042222
32,0.338513131777592,0.0104892092736822,0.00569824439978186,0.416613667287236
33,0.347472261648208,0.0104959454054436,0.00573893184687933,0.419806488907642
34,0.356429945831192,0.0105026805268207,0.0057796053240103,0.422998295173612
35,0.365386139148809,0.0105094146062389,0.00582026439461328,0.426189054355321
36,0.374340796423332,0.0105161476121237,0.00586090862212688,0.429378734722944
37,0.383293872477011,0.0105228795129006,0.00590153756998956,0.432567304546654
38,0.392245322132103,0.010529610276995,0.00594215080163992,0.435754732096624
39,0.401195100210882,0.0105363398728326,0.00598274788051657,0.438940985643031
40,0.41014316153562,0.0105430682688387,0.00602332837005797,0.44212603345605
41,0.419089460928553,0.0105497954334388,0.00606389183370261,0.445309843805847
42,0.428033953211941,0.0105565213350584,0.00610443783488914,0.448492384962599
43,0.436976593208069,0.0105632459421231,0.0061449659370561,0.451673625196484
44,0.445917335739193,0.0105699692230583,0.006185475703642,0.454853532777673
45,0.454856135627566,0.0105766911462895,0.00622596669808541,0.458032075976344
46,0.46379294769544,0.0105834116802421,0.00626643848382486,0.46120922306266
47,0.4727277267651,0.0105901307933418,0.0063068906242989,0.464384942306805
48,0.481660427658799,0.0105968484540139,0.00634732268294608,0.467559201978952
49,0.490591005198794,0.0106035646306839,0.00638773422320492,0.470731970349272
50,0.499519414207356,0.0106102792917774,0.00642812480851401,0.47390321568794
51,0.50844560950673,0.0106169924057198,0.00646849400231188,0.477072906265129
52,0.517369545919199,0.0106237039409367,0.00650884136803711,0.480241010351013
53,0.526291178267008,0.0106304138658534,0.00654916646912816,0.483407496215767
54,0.535210461372418,0.0106371221488955,0.00658946886902364,0.486572332129562
55,0.544127350057706,0.0106438287584885,0.00662974813116209,0.489735486362579
56,0.55304179914512,0.0106505336630579,0.00667000381898206,0.492896927184988
57,0.561953763456929,0.0106572368310291,0.0067102354959221,0.496056622866956
58,0.570863197815392,0.0106639382308277,0.00675044272542065,0.499214541678667
59,0.579770057042774,0.0106706378308791,0.00679062507091645,0.502370651890293
60,0.588674295961331,0.0106773355996088,0.00683078209584793,0.505524921772004
61,0.597575869393318,0.0106840315054423,0.00687091336365362,0.508677319593976
62,0.606474732161023,0.0106907255168051,0.00691101843777216,0.511827813626384
63,0.615370839086669,0.0106974176021227,0.00695109688164196,0.514976372139397
64,0.624264144992565,0.0107041077298206,0.00699114825870169,0.518122963403195
65,0.633154604700922,0.0107107958683243,0.00703117213238984,0.52126755568795
66,0.642042173034045,0.0107174819860592,0.00707116806614492,0.524410117263833
67,0.650926804814167,0.0107241660514508,0.00711113562340559,0.527550616401025
68,0.659808454863566,0.0107308480329246,0.00715107436761029,0.530689021369693
69,0.668687078004494,0.0107375278989062,0.00719098386219763,0.533825300440014
70,0.67756262905922,0.010744205617821,0.00723086367060616,0.536959421882159
71,0.686435062849996,0.0107508811580945,0.0072707133562743,0.540091353966305
72,0.695304334199097,0.0107575544881521,0.00731053248264077,0.543221064962627
73,0.704170397928764,0.0107642255764194,0.007350320613144,0.546348523141291
74,0.713033208861287,0.0107708943913219,0.00739007731122265,0.549473696772481
75,0.72189272181891,0.010777560901285,0.00742980214031512,0.552596554126369
76,0.730748891623895,0.0107842250747343,0.00746949466386004,0.555717063473124
77,0.739601673098502,0.0107908868800952,0.007509154445296,0.558835193082924
78,0.748451021064998,0.0107975462857932,0.00754878104806143,0.561950911225938
79,0.757296890345654,0.0108042032602538,0.00758837403559499,0.565064186172347
80,0.766139235762708,0.0108108577719024,0.00762793297133512,0.568174986192317
81,0.774978012138443,0.0108175097891647,0.00766745741872047,0.571283279556032
82,0.783813174295103,0.010824159280466,0.00770694694118953,0.574389034533657
83,0.792644677054973,0.0108308062142318,0.00774640110218085,0.577492219395369
84,0.801472475240294,0.0108374505588877,0.00778581946513299,0.58059280241134
85,0.810296523673329,0.0108440922828591,0.00782520159348445,0.583690751851748
